2022-03-14 19:06:45 status half-installed libsqlite3-0:amd64 3.34.1-3
2022-03-14 19:06:45 status unpacked libsqlite3-0:amd64 3.34.1-3
2022-03-14 19:06:45 install libpython3.9-stdlib:amd64 <none> 3.9.2-1
2022-03-14 19:06:45 status half-installed libpython3.9-stdlib:amd64 3.9.2-1
2022-03-14 19:06:45 status unpacked libpython3.9-stdlib:amd64 3.9.2-1
2022-03-14 19:06:45 install python3.9:amd64 <none> 3.9.2-1
2022-03-14 19:06:45 status half-installed python3.9:amd64 3.9.2-1
2022-03-14 19:06:45 status unpacked python3.9:amd64 3.9.2-1
2022-03-14 19:06:45 install libpython3-stdlib:amd64 <none> 3.9.2-3
2022-03-14 19:06:45 status half-installed libpython3-stdlib:amd64 3.9.2-3
2022-03-14 19:06:45 status unpacked libpython3-stdlib:amd64 3.9.2-3
2022-03-14 19:06:45 startup packages configure
2022-03-14 19:06:45 configure python3-minimal:amd64 3.9.2-3 <none>
2022-03-14 19:06:45 status unpacked python3-minimal:amd64 3.9.2-3
2022-03-14 19:06:45 status half-configured python3-minimal:amd64 3.9.2-3
2022-03-14 19:06:45 status installed python3-minimal:amd64 3.9.2-3
2022-03-14 19:06:45 startup archives unpack
2022-03-14 19:06:45 install python3:amd64 <none> 3.9.2-3
2022-03-14 19:06:45 status half-installed python3:amd64 3.9.2-3
2022-03-14 19:06:45 status unpacked python3:amd64 3.9.2-3
2022-03-14 19:06:45 install bzip2:amd64 <none> 1.0.8-4
2022-03-14 19:06:45 status half-installed bzip2:amd64 1.0.8-4
2022-03-14 19:06:45 status unpacked bzip2:amd64 1.0.8-4
2022-03-14 19:06:45 install openssl:amd64 <none> 1.1.1k-1+deb11u1
2022-03-14 19:06:45 status half-installed openssl:amd64 1.1.1k-1+deb11u1
2022-03-14 19:06:45 status unpacked openssl:amd64 1.1.1k-1+deb11u1
2022-03-14 19:06:45 install ca-certificates:all <none> 20210119
2022-03-14 19:06:45 status half-installed ca-certificates:all 20210119
2022-03-14 19:06:45 status unpacked ca-certificates:all 20210119
2022-03-14 19:06:45 install libpsl5:amd64 <none> 0.21.0-1.2
2022-03-14 19:06:45 status half-installed libpsl5:amd64 0.21.0-1.2
2022-03-14 19:06:45 status unpacked libpsl5:amd64 0.21.0-1.2
2022-03-14 19:06:46 install wget:amd64 <none> 1.21-1+deb11u1
2022-03-14 19:06:46 status half-installed wget:amd64 1.21-1+deb11u1
2022-03-14 19:06:46 status unpacked wget:amd64 1.21-1+deb11u1
2022-03-14 19:06:46 install xz-utils:amd64 <none> 5.2.5-2
2022-03-14 19:06:46 status half-installed xz-utils:amd64 5.2.5-2
2022-03-14 19:06:46 status unpacked xz-utils:amd64 5.2.5-2
2022-03-14 19:06:46 install binutils-common:amd64 <none> 2.35.2-2
2022-03-14 19:06:46 status half-installed binutils-common:amd64 2.35.2-2
2022-03-14 19:06:46 status unpacked binutils-common:amd64 2.35.2-2
2022-03-14 19:06:46 install libbinutils:amd64 <none> 2.35.2-2
2022-03-14 19:06:46 status half-installed libbinutils:amd64 2.35.2-2
2022-03-14 19:06:46 status unpacked libbinutils:amd64 2.35.2-2
2022-03-14 19:06:46 install libctf-nobfd0:amd64 <none> 2.35.2-2
2022-03-14 19:06:46 status half-installed libctf-nobfd0:amd64 2.35.2-2
2022-03-14 19:06:46 status unpacked libctf-nobfd0:amd64 2.35.2-2
2022-03-14 19:06:46 install libctf0:amd64 <none> 2.35.2-2
2022-03-14 19:06:46 status half-installed libctf0:amd64 2.35.2-2
2022-03-14 19:06:46 status unpacked libctf0:amd64 2.35.2-2
2022-03-14 19:06:46 install binutils-x86-64-linux-gnu:amd64 <none> 2.35.2-2
2022-03-14 19:06:46 status half-installed binutils-x86-64-linux-gnu:amd64 2.35.2-2
2022-03-14 19:06:46 status unpacked binutils-x86-64-linux-gnu:amd64 2.35.2-2
2022-03-14 19:06:46 install binutils:amd64 <none> 2.35.2-2
